"Step","a3c_Kangaroo_runseed=0 - training/episode/reward","a3c_Kangaroo_runseed=0 - training/episode/reward__MIN","a3c_Kangaroo_runseed=0 - training/episode/reward__MAX"
"768480","0","0","0"
"769120","0","0","0"
"769312","0","0","0"
"770368","0","0","0"
"770560","200","200","200"
"771328","0","0","0"
"771392","200","200","200"
"773440","0","0","0"
"775008","200","200","200"
"775264","0","0","0"
"776096","200","200","200"
"776256","0","0","0"
"776608","0","0","0"
"777472","0","0","0"
"778240","0","0","0"
"779680","0","0","0"
"780512","200","200","200"
"780544","200","200","200"
"780672","200","200","200"
"781664","0","0","0"
"782496","0","0","0"
"783328","0","0","0"
"783456","200","200","200"
"783904","0","0","0"
"785216","200","200","200"
"786464","0","0","0"
"786528","200","200","200"
"788288","0","0","0"
"788704","0","0","0"
"788800","0","0","0"
"790368","200","200","200"
"790720","200","200","200"
"791552","200","200","200"
"793344","0","0","0"
"794112","200","200","200"
"794560","0","0","0"
"795360","0","0","0"
"795648","400","400","400"
"795904","0","0","0"
"796512","200","200","200"
"796576","200","200","200"
"796896","200","200","200"
"798112","200","200","200"
"799040","0","0","0"
"800128","0","0","0"
"801088","0","0","0"
"801344","0","0","0"
"801568","200","200","200"
"802432","0","0","0"
"802880","0","0","0"
"804608","0","0","0"
"806368","200","200","200"
"806496","0","0","0"
"807392","0","0","0"
"807584","0","0","0"
"807648","0","0","0"
"808320","200","200","200"
"808704","200","200","200"
"809056","0","0","0"
"809984","400","400","400"
"810784","200","200","200"
"810816","0","0","0"
"811776","200","200","200"
"812448","0","0","0"
"813024","0","0","0"
"813120","200","200","200"
"813984","0","0","0"
"814656","0","0","0"
"815424","200","200","200"
"816096","0","0","0"
"816576","200","200","200"
"817536","400","400","400"
"818208","200","200","200"
"819360","0","0","0"
"820096","0","0","0"
"821792","0","0","0"
"823936","200","200","200"
"824960","0","0","0"
"825024","0","0","0"
"825760","0","0","0"
"826400","0","0","0"
"827072","0","0","0"
"827136","0","0","0"
"827456","0","0","0"
"828288","200","200","200"
"829152","200","200","200"
"829376","0","0","0"
"831040","0","0","0"
"832224","200","200","200"
"832512","0","0","0"
"832608","0","0","0"
"833120","0","0","0"
"833504","0","0","0"
"833568","0","0","0"
"836576","0","0","0"
"838304","0","0","0"
"838368","0","0","0"
"838720","0","0","0"
"840224","0","0","0"
"841120","0","0","0"
"841504","0","0","0"
"841888","0","0","0"
"842016","200","200","200"
"842144","0","0","0"
"842368","200","200","200"
"842400","200","200","200"
"842656","0","0","0"
"843200","0","0","0"
"844064","0","0","0"
"844192","0","0","0"
"845760","0","0","0"
"847040","0","0","0"
"847328","0","0","0"
"847616","0","0","0"
"848192","200","200","200"
"849376","200","200","200"
"849632","0","0","0"
"852128","0","0","0"
"852352","200","200","200"
"853024","0","0","0"
"853312","0","0","0"
"853344","0","0","0"
"853408","0","0","0"
"854912","0","0","0"
"855040","0","0","0"
"855328","200","200","200"
"855808","200","200","200"
"856288","200","200","200"
"858016","0","0","0"
"858272","0","0","0"
"858720","200","200","200"
"859584","0","0","0"
"860672","0","0","0"
"862432","200","200","200"
"862560","0","0","0"
"865120","0","0","0"
"865280","0","0","0"
"865696","0","0","0"
"865952","0","0","0"
"866240","200","200","200"
"868352","200","200","200"
"868704","0","0","0"
"868928","400","400","400"
"869184","0","0","0"
"869376","200","200","200"
"869536","0","0","0"
"871488","0","0","0"
"872704","0","0","0"
"873344","0","0","0"
"873536","0","0","0"
"874080","0","0","0"
"874624","0","0","0"
"875392","0","0","0"
"875808","0","0","0"
"875968","0","0","0"
"876096","200","200","200"
"876352","200","200","200"
"877696","0","0","0"
"878112","0","0","0"
"879456","400","400","400"
"879552","0","0","0"
"882720","0","0","0"
"882944","0","0","0"
"884000","600","600","600"
"884256","0","0","0"
"884448","0","0","0"
"884480","0","0","0"
"884576","0","0","0"
"885216","0","0","0"
"885344","0","0","0"
"886336","0","0","0"
"886496","0","0","0"
"887392","0","0","0"
