"Step","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MAX"
"2022368","0","0","0","","","","","",""
"2034400","","","","","","","0","0","0"
"2034976","0","0","0","","","","","",""
"2035104","","","","0","0","0","","",""
"2047136","0","0","0","","","","","",""
"2047648","","","","0","0","0","","",""
"2047712","","","","","","","0","0","0"
"2060320","","","","0","0","0","","",""
"2060608","","","","","","","0","0","0"
"2060704","0","0","0","","","","","",""
"2072896","0","0","0","","","","","",""
"2073280","","","","0","0","0","","",""
"2073408","","","","","","","0","0","0"
"2085760","0","0","0","","","","","",""
"2085984","","","","0","0","0","","",""
"2086016","","","","","","","0","0","0"
"2099008","","","","0.005859375","0.005859375","0.005859375","0","0","0"
"2099136","0","0","0","","","","","",""
"2111136","","","","","","","0","0","0"
"2111168","","","","0","0","0","","",""
"2111872","0","0","0","","","","","",""
"2123616","0","0","0","","","","","",""
"2124288","","","","0.01171875","0.01171875","0.01171875","","",""
"2124352","","","","","","","0","0","0"
"2137056","0","0","0","","","","","",""
"2137504","","","","","","","0","0","0"
"2137536","","","","0","0","0","","",""
"2148800","","","","0","0","0","","",""
"2149856","","","","","","","0","0","0"
"2150336","0","0","0","","","","","",""
"2162368","0","0","0","","","","","",""
"2162496","","","","","","","0","0","0"
"2163104","","","","0","0","0","","",""
"2174912","","","","","","","0","0","0"
"2175808","","","","0","0","0","","",""
"2175840","0","0","0","","","","","",""
"2188160","","","","0","0","0","","",""
"2188352","","","","","","","0","0","0"
"2188640","0","0","0","","","","","",""
"2199392","0","0","0","","","","","",""
"2201376","","","","","","","0","0","0"
"2201504","","","","0","0","0","","",""
"2213152","0","0","0","","","","","",""
"2213696","","","","","","","0","0","0"
"2214304","","","","0.005859375","0.005859375","0.005859375","","",""
"2226656","0","0","0","","","","","",""
"2226720","","","","","","","0","0","0"
"2226816","","","","0.005859375","0.005859375","0.005859375","","",""
"2239456","","","","0.005859375","0.005859375","0.005859375","","",""
"2239680","","","","","","","0","0","0"
"2239904","0","0","0","","","","","",""
"2251648","0","0","0","","","","","",""
"2252256","","","","0.015625","0.015625","0.015625","","",""
"2252544","","","","","","","0","0","0"
"2264768","","","","0.0078125","0.0078125","0.0078125","","",""
"2265024","","","","","","","0","0","0"
"2265568","0","0","0","","","","","",""
"2276736","0","0","0","","","","","",""
"2278048","","","","0","0","0","","",""
"2278208","","","","","","","0","0","0"
"2290368","0","0","0","","","","","",""
"2290816","","","","0","0","0","","",""
"2291072","","","","","","","0","0","0"
"2302752","","","","","","","0","0","0"
"2303168","0","0","0","","","","","",""
"2303680","","","","0","0","0","","",""
"2315808","","","","","","","0","0","0"
"2316320","","","","0","0","0","","",""
"2316704","0","0","0","","","","","",""
"2327968","0","0","0","","","","","",""
"2328448","","","","0.005859375","0.005859375","0.005859375","","",""
"2329536","","","","","","","0","0","0"
"2341824","","","","0","0","0","","",""
"2342080","","","","","","","0","0","0"
"2342368","0","0","0","","","","","",""
"2354432","","","","","","","0","0","0"
"2355072","","","","0","0","0","","",""
"2355104","0","0","0","","","","","",""
"2367040","","","","","","","0","0","0"
"2367744","0","0","0","","","","","",""
"2367776","","","","0","0","0","","",""
"2380288","","","","0.005859375","0.005859375","0.005859375","","",""
"2380384","","","","","","","0","0","0"
"2380608","0","0","0","","","","","",""
"2393440","0","0","0","","","","","",""
"2393504","","","","0","0","0","0","0","0"
"2405856","","","","0","0","0","","",""
"2406144","","","","","","","0","0","0"
"2406368","0","0","0","","","","","",""
"2418976","","","","","","","0","0","0"
"2419104","","","","0","0","0","","",""
"2419168","0","0","0","","","","","",""
"2431392","","","","","","","0","0","0"
"2431552","0.01171875","0.01171875","0.01171875","","","","","",""
"2431616","","","","0","0","0","","",""
"2443520","","","","0","0","0","","",""
"2443680","0","0","0","","","","","",""
"2444384","","","","","","","0","0","0"
"2457280","","","","0.005859375","0.005859375","0.005859375","","",""
"2457376","0","0","0","","","","","",""
"2457504","","","","","","","0","0","0"
"2469664","","","","0","0","0","","",""
"2469856","0","0","0","","","","","",""
"2470176","","","","","","","0","0","0"
"2482464","0","0","0","","","","0","0","0"
"2482656","","","","0","0","0","","",""
"2495648","","","","","","","0","0","0"
"2495712","0","0","0","","","","","",""
"2495776","","","","0","0","0","","",""
"2507872","","","","0","0","0","","",""
"2508512","0","0","0","","","","","",""
"2508576","","","","","","","0","0","0"
"2521120","","","","0","0","0","","",""
"2521312","0","0","0","","","","","",""
"2521408","","","","","","","0","0","0"
"2533664","0","0","0","","","","","",""
"2534112","","","","","","","0","0","0"
"2534336","","","","0.005859375","0.005859375","0.005859375","","",""
"2545888","0","0","0","","","","","",""
"2547104","","","","0.005859375","0.005859375","0.005859375","0","0","0"
"2559520","","","","0","0","0","","",""
"2559808","","","","","","","0","0","0"
"2559936","0","0","0","","","","","",""
"2572448","","","","0","0","0","","",""
"2572576","","","","","","","0","0","0"
"2572736","0","0","0","","","","","",""
"2585088","0","0","0","","","","","",""
"2585312","","","","0","0","0","","",""
"2585504","","","","","","","0","0","0"
"2597472","","","","0","0","0","","",""
"2597728","0.005859375","0.005859375","0.005859375","","","","","",""
"2597920","","","","","","","0","0","0"
"2610336","","","","0.005859375","0.005859375","0.005859375","","",""
"2610560","","","","","","","0","0","0"
"2611136","0","0","0","","","","","",""
