"Step","a3c_Frostbite_runseed=0 - training/episode/reward","a3c_Frostbite_runseed=0 - training/episode/reward__MIN","a3c_Frostbite_runseed=0 - training/episode/reward__MAX"
"890336","200","200","200"
"891136","200","200","200"
"893504","250","250","250"
"894880","210","210","210"
"895232","160","160","160"
"895680","160","160","160"
"896640","210","210","210"
"896704","120","120","120"
"898112","200","200","200"
"899040","210","210","210"
"899232","180","180","180"
"900320","210","210","210"
"903328","240","240","240"
"904448","170","170","170"
"907040","220","220","220"
"907936","210","210","210"
"908416","280","280","280"
"909504","220","220","220"
"909696","200","200","200"
"909728","230","230","230"
"910048","210","210","210"
"910944","170","170","170"
"911712","230","230","230"
"912256","190","190","190"
"912864","230","230","230"
"913248","250","250","250"
"914784","250","250","250"
"915232","210","210","210"
"917024","170","170","170"
"918656","220","220","220"
"919648","190","190","190"
"919680","150","150","150"
"920256","230","230","230"
"920640","170","170","170"
"922944","180","180","180"
"924192","200","200","200"
"926016","190","190","190"
"926976","230","230","230"
"928224","210","210","210"
"928928","180","180","180"
"930208","240","240","240"
"930912","220","220","220"
"931616","170","170","170"
"933056","210","210","210"
"933536","210","210","210"
"934240","200","200","200"
"937184","200","200","200"
"937440","210","210","210"
"938688","160","160","160"
"939552","220","220","220"
"939808","230","230","230"
"940032","230","230","230"
"940864","180","180","180"
"941152","110","110","110"
"942144","170","170","170"
"943552","230","230","230"
"946208","240","240","240"
"947040","160","160","160"
"947200","200","200","200"
"947424","220","220","220"
"950272","220","220","220"
"950464","220","220","220"
"951616","240","240","240"
"952704","210","210","210"
"953600","160","160","160"
"954272","200","200","200"
"954848","180","180","180"
"954976","180","180","180"
"955136","230","230","230"
"955232","170","170","170"
"956960","200","200","200"
"957440","180","180","180"
"958592","200","200","200"
"958688","250","250","250"
"959008","210","210","210"
"959936","210","210","210"
"960512","170","170","170"
"960864","200","200","200"
"962816","160","160","160"
"963872","200","200","200"
"965728","200","200","200"
"968256","240","240","240"
"968416","250","250","250"
"968448","180","180","180"
"968736","250","250","250"
"969152","210","210","210"
"969568","220","220","220"
"971968","230","230","230"
"972736","270","270","270"
"974272","230","230","230"
"974688","260","260","260"
"975520","250","250","250"
"975872","200","200","200"
"976096","210","210","210"
"978048","190","190","190"
"980096","180","180","180"
"980128","180","180","180"
"980352","230","230","230"
"981344","180","180","180"
"986112","220","220","220"
"986400","200","200","200"
