"Step","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MAX"
"2214336","","","","0.98046875","0.98046875","0.98046875","","",""
"2226496","0.162109375","0.162109375","0.162109375","","","","","",""
"2226848","","","","0.984375","0.984375","0.984375","","",""
"2227104","","","","","","","0","0","0"
"2239616","","","","","","","0","0","0"
"2239776","0.125","0.125","0.125","","","","","",""
"2239872","","","","1","1","1","","",""
"2252000","0.130859375","0.130859375","0.130859375","","","","","",""
"2252256","","","","1","1","1","","",""
"2252480","","","","","","","0","0","0"
"2264256","","","","","","","0.005859375","0.005859375","0.005859375"
"2265152","0.13671875","0.13671875","0.13671875","","","","","",""
"2265184","","","","0.98828125","0.98828125","0.98828125","","",""
"2277824","0.173828125","0.173828125","0.173828125","","","","","",""
"2278336","","","","0.982421875","0.982421875","0.982421875","0.005859375","0.005859375","0.005859375"
"2290432","","","","","","","0","0","0"
"2290560","0.19921875","0.19921875","0.19921875","","","","","",""
"2290976","","","","1","1","1","","",""
"2302784","","","","1","1","1","","",""
"2303040","0.212890625","0.212890625","0.212890625","","","","","",""
"2303680","","","","","","","0","0","0"
"2316064","","","","1","1","1","","",""
"2316096","0.228515625","0.228515625","0.228515625","","","","","",""
